Lfd. Nr.,Land,RB,Kreis,VB,Gem,Stadt,Post-leitzahl 1),Fläche in km2 2),Bevölkerung insgesamt,männlich,weiblich,je km2
1,11,0,00,0000,000,"Berlin, Stadt",10178,  891.12,3 613 495,1 776 267,1 837 228,4 055
2,02,0,00,0000,000,"Hamburg, Freie und Hansestadt",20038,  755.09,1 830 584, 897 207, 933 377,2 424
3,09,1,62,0000,000,"München, Landeshauptstadt",80313,  310.71,1 456 039, 708 422, 747 617,4 686
4,05,3,15,0000,000,"Köln, Stadt",50667,  405.01,1 080 394, 526 965, 553 429,2 668
5,06,4,12,0000,000,"Frankfurt am Main, Stadt",60311,  248.31, 746 878, 368 721, 378 157,3 008
6,08,1,11,0000,000,"Stuttgart, Landeshauptstadt",70173,  207.35, 632 743, 316 126, 316 617,3 052
7,05,1,11,0000,000,"Düsseldorf, Stadt",40213,  217.41, 617 280, 298 330, 318 950,2 839
8,05,9,13,0000,000,"Dortmund, Stadt",44135,  280.71, 586 600, 288 076, 298 524,2 090
9,05,1,13,0000,000,"Essen, Stadt",45127,  210.34, 583 393, 283 206, 300 187,2 774
10,14,7,13,0000,000,"Leipzig, Stadt",04109,  297.80, 581 980, 285 777, 296 203,1 954
11,04,0,11,0000,000,"Bremen, Stadt",28195,  317.88, 568 006, 280 484, 287 522,1 787
12,14,6,12,0000,000,"Dresden, Stadt",01067,  328.48, 551 072, 274 513, 276 559,1 678
13,03,2,41,0001,001,"Hannover, Landeshauptstadt",30159,  204.30, 535 061, 261 192, 273 869,2 619
14,09,5,64,0000,000,Nürnberg,90403,  186.45, 515 201, 250 702, 264 499,2 763
15,05,1,12,0000,000,"Duisburg, Stadt",47051,  232.80, 498 110, 246 183, 251 927,2 140
16,05,9,11,0000,000,"Bochum, Stadt",44787,  145.66, 365 529, 178 122, 187 407,2 509
17,05,1,24,0000,000,"Wuppertal, Stadt",42275,  168.39, 353 590, 173 025, 180 565,2 100
18,05,7,11,0000,000,"Bielefeld, Stadt",33602,  258.82, 332 552, 160 267, 172 285,1 285
19,05,3,14,0000,000,"Bonn, Stadt",53111,  141.06, 325 490, 155 605, 169 885,2 307
20,05,5,15,0000,000,"Münster, Stadt",48143,  303.28, 313 559, 150 360, 163 199,1 034
21,08,2,12,0000,000,"Karlsruhe, Stadt",76124,  173.42, 311 919, 159 659, 152 260,1 799
22,08,2,22,0000,000,"Mannheim, Universitätsstadt",68159,  144.97, 307 997, 153 663, 154 334,2 125
23,09,7,61,0000,000,Augsburg,86143,  146.87, 292 851, 143 867, 148 984,1 994
24,06,4,14,0000,000,"Wiesbaden, Landeshauptstadt",65183,  203.87, 278 654, 133 148, 145 506,1 367
25,05,1,16,0000,000,"Mönchengladbach, Stadt",41061,  170.47, 262 188, 128 925, 133 263,1 538
26,05,5,13,0000,000,"Gelsenkirchen, Stadt",45879,  104.94, 260 305, 129 548, 130 757,2 481
27,03,1,01,0000,000,"Braunschweig, Stadt",38100,  192.70, 248 023, 122 721, 125 302,1 287
28,01,0,02,0000,000,"Kiel, Landeshauptstadt",24103,  118.65, 247 943, 120 809, 127 134,2 090
29,14,5,11,0000,000,"Chemnitz, Stadt",09111,  221.05, 246 855, 121 771, 125 084,1 117
30,05,3,34,0002,002,"Aachen, Stadt",52062,  160.85, 246 272, 128 064, 118 208,1 531
31,15,0,02,0000,000,"Halle (Saale), Stadt",06108,  135.03, 239 173, 115 771, 123 402,1 771
32,15,0,03,0000,000,"Magdeburg, Landeshauptstadt",39104,  201.01, 238 478, 117 677, 120 801,1 186
33,08,3,11,0000,000,"Freiburg im Breisgau, Stadt",79098,  153.04, 229 636, 109 537, 120 099,1 500
34,05,1,14,0000,000,"Krefeld, Stadt",47803,  137.77, 226 699, 110 467, 116 232,1 645
35,01,0,03,0000,000,"Lübeck, Hansestadt",23552,  214.19, 216 318, 103 884, 112 434,1 010
36,07,3,15,0000,000,"Mainz, Stadt",55116,  97.73, 215 110, 104 564, 110 546,2 201
37,16,0,51,0000,000,"Erfurt, Stadt",99084,  269.91, 212 988, 103 683, 109 305, 789
38,05,1,19,0000,000,"Oberhausen, Stadt",46045,  77.09, 211 422, 103 851, 107 571,2 743
39,13,0,03,0000,000,"Rostock, Hansestadt",18055,  181.36, 208 409, 102 700, 105 709,1 149
40,06,6,11,0000,000,"Kassel, documenta-Stadt",34117,  106.80, 200 736, 98 371, 102 365,1 880
41,05,9,14,0000,000,"Hagen, Stadt der FernUniversität",58095,  160.45, 187 730, 91 443, 96 287,1 170
42,10,0,41,0100,100,"Saarbrücken, Landeshauptstadt",66111,  167.52, 180 966, 89 755, 91 211,1 080
43,05,9,15,0000,000,"Hamm, Stadt",59065,  226.43, 179 185, 88 012, 91 173, 791
44,12,0,54,0000,000,"Potsdam, Stadt",14469,  188.26, 175 710, 85 046, 90 664, 933
45,05,1,17,0000,000,"Mülheim an der Ruhr, Stadt",45468,  91.28, 171 265, 82 616, 88 649,1 876
46,07,3,14,0000,000,"Ludwigshafen am Rhein, Stadt",67059,  77.43, 168 497, 83 893, 84 604,2 176
47,03,4,03,0000,000,"Oldenburg (Oldenburg), Stadt",26122,  103.09, 167 081, 79 833, 87 248,1 621
48,03,4,04,0000,000,"Osnabrück, Stadt",49074,  119.80, 164 374, 79 505, 84 869,1 372
49,05,3,16,0000,000,"Leverkusen, Stadt",51373,  78.87, 163 577, 79 675, 83 902,2 074
50,08,2,21,0000,000,"Heidelberg, Stadt",69117,  108.89, 160 601, 77 319, 83 282,1 475
51,05,1,22,0000,000,"Solingen, Klingenstadt",42651,  89.54, 158 803, 77 157, 81 646,1 774
52,06,4,11,0000,000,"Darmstadt, Wissenschaftsstadt",64283,  122.07, 158 254, 80 565, 77 689,1 296
53,05,9,16,0000,000,"Herne, Stadt",44623,  51.42, 156 490, 76 665, 79 825,3 043
54,05,1,62,0024,024,"Neuss, Stadt",41460,  99.52, 153 810, 74 499, 79 311,1 546
55,09,3,62,0000,000,Regensburg,93019,  80.85, 150 894, 73 121, 77 773,1 866
56,05,7,74,0032,032,"Paderborn, Stadt",33098,  179.59, 149 075, 74 117, 74 958, 830
57,09,1,61,0000,000,Ingolstadt,85047,  133.35, 135 244, 68 292, 66 952,1 014
58,06,4,13,0000,000,"Offenbach am Main, Stadt",63065,  44.88, 126 658, 62 566, 64 092,2 822
59,09,6,63,0000,000,Würzburg,97067,  87.60, 126 635, 60 447, 66 188,1 446
60,09,5,63,0000,000,Fürth,90744,  63.35, 126 526, 61 962, 64 564,1 997
61,08,4,21,0000,000,"Ulm, Universitätsstadt",89073,  118.68, 125 596, 62 321, 63 275,1 058
62,08,1,21,0000,000,"Heilbronn, Stadt",74072,  99.89, 125 113, 63 068, 62 045,1 253
63,08,2,31,0000,000,"Pforzheim, Stadt",75175,  98.07, 124 289, 61 032, 63 257,1 267
64,03,1,03,0000,000,"Wolfsburg, Stadt",38440,  204.61, 123 914, 61 559, 62 355, 606
65,03,1,59,0016,016,"Göttingen, Stadt",37083,  116.93, 119 529, 58 238, 61 291,1 022
66,05,5,12,0000,000,"Bottrop, Stadt",46236,  100.61, 117 364, 57 116, 60 248,1 167
67,08,4,15,0061,061,"Reutlingen, Stadt",72764,  87.04, 115 762, 57 266, 58 496,1 330
68,07,1,11,0000,000,"Koblenz, Stadt",56068,  105.25, 113 844, 55 372, 58 472,1 082
69,05,5,62,0032,032,"Recklinghausen, Stadt",45657,  66.50, 113 360, 55 218, 58 142,1 705
70,04,0,12,0000,000,"Bremerhaven, Stadt",27576,  101.53, 113 026, 56 181, 56 845,1 113
71,05,3,78,0004,004,"Bergisch Gladbach, Stadt",51465,  83.09, 111 627, 53 477, 58 150,1 343
72,16,0,53,0000,000,"Jena, Stadt",07743,  114.76, 111 099, 55 472, 55 627, 968
73,09,5,62,0000,000,Erlangen,91051,  76.96, 110 998, 55 200, 55 798,1 442
74,05,1,20,0000,000,"Remscheid, Stadt",42853,  74.52, 110 584, 54 482, 56 102,1 484
75,07,2,11,0000,000,"Trier, Stadt",54290,  117.06, 110 013, 54 181, 55 832, 940
76,03,1,02,0000,000,"Salzgitter, Stadt",38226,  224.49, 104 548, 51 990, 52 558, 466
77,05,1,70,0024,024,"Moers, Stadt",47441,  67.68, 103 949, 50 468, 53 481,1 536
78,05,9,70,0040,040,"Siegen, Universitätsstadt",57072,  114.69, 102 337, 50 074, 52 263, 892
79,03,2,54,0021,021,"Hildesheim, Stadt",31134,  92.29, 101 744, 48 413, 53 331,1 102
80,12,0,52,0000,000,"Cottbus, Stadt",03046,  165.63, 101 036, 49 792, 51 244, 610
81,07,3,12,0000,000,"Kaiserslautern, Stadt",67657,  139.70, 99 684, 50 307, 49 377, 714
82,05,7,54,0008,008,"Gütersloh, Stadt",33330,  112.02, 99 315, 49 292, 50 023, 887
83,05,9,54,0036,036,"Witten, Stadt",58452,  72.40, 96 565, 46 972, 49 593,1 334
84,06,4,35,0014,014,"Hanau, Brüder-Grimm-Stadt",63450,  76.47, 96 130, 47 535, 48 595,1 257
85,13,0,04,0000,000,"Schwerin, Landeshauptstadt",19053,  130.52, 95 797, 46 046, 49 751, 734
86,16,0,52,0000,000,"Gera, Stadt",07545,  152.19, 94 859, 45 890, 48 969, 623
87,08,1,18,0048,048,"Ludwigsburg, Stadt",71638,  43.34, 93 593, 46 086, 47 507,2 160
88,08,1,16,0019,019,"Esslingen am Neckar, Stadt",73728,  46.43, 93 004, 46 473, 46 531,2 003
89,05,9,62,0024,024,"Iserlohn, Stadt",58636,  125.49, 92 928, 45 469, 47 459, 741
90,05,3,58,0008,008,"Düren, Stadt",52349,  85.00, 90 502, 44 655, 45 847,1 065
91,14,5,24,0330,330,"Zwickau, Stadt",08056,  102.58, 90 192, 43 959, 46 233, 879
92,08,4,16,0041,041,"Tübingen, Universitätsstadt",72070,  108.06, 89 447, 42 508, 46 939, 828
93,01,0,01,0000,000,"Flensburg, Stadt",24937,  56.73, 88 519, 44 086, 44 433,1 560
94,06,5,31,0005,005,"Gießen, Universitätsstadt",35390,  72.55, 87 343, 42 546, 44 797,1 204
95,05,1,58,0028,028,"Ratingen, Stadt",40878,  88.74, 87 226, 41 789, 45 437, 983
96,05,9,78,0024,024,"Lünen, Stadt",44532,  59.39, 86 465, 42 094, 44 371,1 456
97,08,3,26,5004,074,"Villingen-Schwenningen, Stadt",78050,  165.50, 84 557, 41 575, 42 982, 511
98,08,3,35,5004,043,"Konstanz, Universitätsstadt",78462,  54.11, 84 441, 40 614, 43 827,1 561
99,05,5,62,0024,024,"Marl, Stadt",45768,  87.76, 83 695, 41 196, 42 499, 954
100,07,3,19,0000,000,"Worms, Stadt",67547,  108.73, 83 081, 40 870, 42 211, 764
101,15,0,01,0000,000,"Dessau-Roßlau, Stadt",06844,  244.75, 82 111, 39 933, 42 178, 335
102,05,1,58,0032,032,"Velbert, Stadt",42551,  74.90, 82 061, 40 100, 41 961,1 096
103,05,7,70,0024,024,"Minden, Stadt",32423,  101.12, 81 698, 40 119, 41 579, 808
104,01,0,04,0000,000,"Neumünster, Stadt",24534,  71.66, 79 335, 39 190, 40 145,1 107
105,01,0,60,0063,063,"Norderstedt, Stadt",22846,  58.10, 78 679, 38 161, 40 518,1 354
106,03,4,01,0000,000,"Delmenhorst, Stadt",27749,  62.45, 77 521, 38 383, 39 138,1 241
107,09,4,61,0000,000,Bamberg,96031,  54.62, 77 179, 37 165, 40 014,1 413
108,05,1,66,0032,032,"Viersen, Stadt",41747,  91.10, 76 586, 37 076, 39 510, 841
109,03,4,05,0000,000,"Wilhelmshaven, Stadt",26382,  107.07, 76 316, 37 572, 38 744, 713
110,06,5,34,0014,014,"Marburg, Universitätsstadt",35037,  123.91, 76 226, 36 372, 39 854, 615
111,05,5,66,0076,076,"Rheine, Stadt",48431,  145.00, 76 018, 37 649, 38 369, 524
112,05,5,62,0014,014,"Gladbeck, Stadt",45964,  35.97, 75 689, 36 870, 38 819,2 104
113,05,5,62,0012,012,"Dorsten, Stadt",46284,  171.20, 75 252, 36 551, 38 701, 440
114,03,3,55,0022,022,"Lüneburg, Hansestadt",21335,  70.50, 75 192, 36 224, 38 968,1 067
115,05,3,82,0068,068,"Troisdorf, Stadt",53840,  62.00, 74 870, 36 634, 38 236,1 208
116,05,7,66,0020,020,"Detmold, Stadt",32756,  129.39, 74 353, 35 841, 38 512, 575
117,09,4,62,0000,000,Bayreuth,95410,  66.89, 73 999, 36 035, 37 964,1 106
118,05,5,62,0004,004,"Castrop-Rauxel, Stadt",44575,  51.68, 73 989, 36 034, 37 955,1 432
119,05,9,58,0004,004,"Arnsberg, Stadt",59759,  193.72, 73 814, 36 310, 37 504, 381
120,05,9,62,0032,032,"Lüdenscheid, Stadt",58507,  87.02, 72 894, 35 798, 37 096, 838
121,12,0,51,0000,000,"Brandenburg an der Havel, Stadt",14770,  229.72, 71 886, 35 522, 36 364, 313
122,09,2,61,0000,000,Landshut,84026,  65.83, 71 193, 34 617, 36 576,1 081
123,05,5,54,0008,008,"Bocholt, Stadt",46395,  119.40, 71 036, 34 778, 36 258, 595
124,09,6,61,0000,000,Aschaffenburg,63701,  62.45, 69 928, 33 899, 36 029,1 120
125,03,3,51,0006,006,"Celle, Stadt",29221,  176.02, 69 706, 33 755, 35 951, 396
126,09,7,63,0000,000,Kempten (Allgäu),87435,  63.28, 68 330, 33 789, 34 541,1 080
127,06,6,31,0009,009,"Fulda, Stadt",36037,  104.05, 67 973, 33 322, 34 651, 653
128,05,9,74,0028,028,"Lippstadt, Stadt",59555,  113.68, 67 936, 33 459, 34 477, 598
129,08,1,36,5001,088,"Aalen, Stadt",73430,  146.58, 67 849, 33 588, 34 261, 463
130,05,1,70,0008,008,"Dinslaken, Stadt",46535,  47.66, 67 489, 32 627, 34 862,1 416
131,05,7,58,0012,012,"Herford, Hansestadt",32052,  79.16, 66 923, 32 657, 34 266, 845
132,05,3,62,0032,032,"Kerpen, Kolpingstadt",50171,  113.96, 65 420, 32 225, 33 195, 574
133,14,5,23,0320,320,"Plauen, Stadt",08523,  102.11, 65 148, 31 737, 33 411, 638
134,06,4,33,0012,012,"Rüsselsheim am Main, Stadt",65428,  58.29, 64 922, 32 405, 32 517,1 114
135,07,1,38,0045,045,"Neuwied, Stadt",56564,  86.50, 64 661, 31 587, 33 074, 748
136,08,1,15,0045,045,"Sindelfingen, Stadt",71063,  50.83, 64 599, 32 141, 32 458,1 271
137,16,0,55,0000,000,"Weimar, Stadt",99423,  84.48, 64 426, 31 231, 33 195, 763
138,13,0,71,0107,107,"Neubrandenburg, Stadt",17033,  86.11, 64 259, 31 176, 33 083, 746
139,05,1,62,0004,004,"Dormagen, Stadt",41539,  85.50, 64 177, 31 913, 32 264, 751
140,05,1,62,0008,008,"Grevenbroich, Stadt",41515,  102.41, 63 204, 30 569, 32 635, 617
141,09,1,63,0000,000,Rosenheim,83013,  37.22, 63 080, 31 126, 31 954,1 695
142,05,5,62,0020,020,"Herten, Stadt",45699,  37.33, 61 669, 30 123, 31 546,1 652
143,05,3,62,0008,008,"Bergheim, Stadt",50126,  96.34, 61 099, 30 120, 30 979, 634
144,08,1,36,5007,065,"Schwäbisch Gmünd, Stadt",73525,  113.78, 60 914, 29 777, 31 137, 535
145,03,2,41,0005,005,"Garbsen, Stadt",30823,  79.49, 60 875, 29 694, 31 181, 766
146,05,1,70,0048,048,"Wesel, Stadt",46483,  122.56, 60 496, 29 359, 31 137, 494
147,08,4,35,5002,016,"Friedrichshafen, Stadt",88045,  69.93, 60 088, 29 848, 30 240, 859
148,05,3,62,0028,028,"Hürth, Stadt",50354,  51.22, 59 762, 29 236, 30 526,1 167
149,13,0,73,0088,088,"Stralsund, Hansestadt",18439,  54.14, 59 517, 29 223, 30 294,1 099
150,08,3,17,5010,096,"Offenburg, Stadt",77652,  78.37, 59 060, 28 909, 30 151, 754
151,13,0,75,0039,039,"Greifswald, Hansestadt",17489,  50.81, 58 886, 28 362, 30 524,1 159
152,05,1,58,0020,020,"Langenfeld (Rheinland), Stadt",40764,  41.15, 58 698, 28 500, 30 198,1 426
153,12,0,53,0000,000,"Frankfurt (Oder), Stadt",15230,  147.85, 58 237, 28 167, 30 070, 394
154,09,7,75,0135,135,"Neu-Ulm, GKSt",89210,  80.95, 57 727, 28 429, 29 298, 713
155,05,3,66,0016,016,"Euskirchen, Stadt",53879,  139.49, 57 715, 28 266, 29 449, 414
156,03,2,52,0006,006,"Hameln, Stadt",31785,  102.53, 57 228, 27 277, 29 951, 558
157,05,9,78,0036,036,"Unna, Stadt",59423,  88.56, 57 158, 27 236, 29 922, 645
158,08,1,17,5005,026,"Göppingen, Stadt",73033,  59.21, 57 094, 28 238, 28 856, 964
159,05,3,34,0032,032,"Stolberg (Rhld.), Kupferstadt",52222,  98.48, 56 751, 28 184, 28 567, 576
160,14,6,26,0110,110,"Görlitz, Stadt",02826,  67.52, 56 391, 27 161, 29 230, 835
161,05,3,34,0012,012,"Eschweiler, Stadt",52249,  75.75, 56 207, 27 521, 28 686, 742
162,05,3,82,0056,056,"Sankt Augustin, Stadt",53757,  34.22, 55 873, 27 304, 28 569,1 633
163,05,1,58,0016,016,"Hilden, Stadt",40721,  25.95, 55 817, 26 846, 28 971,2 151
164,05,1,62,0022,022,"Meerbusch, Stadt",40667,  64.39, 55 548, 26 517, 29 031, 863
165,08,1,19,0079,079,"Waiblingen, Stadt",71332,  42.75, 55 123, 27 123, 28 000,1 289
166,08,2,11,0000,000,"Baden-Baden, Stadt",76530,  140.19, 54 718, 26 266, 28 452, 390
167,05,9,54,0016,016,"Hattingen, Stadt",45525,  71.67, 54 628, 26 498, 28 130, 762
168,03,4,54,0032,032,"Lingen (Ems), Stadt",49808,  176.19, 54 117, 26 806, 27 311, 307
169,05,3,62,0036,036,"Pulheim, Stadt",50259,  72.15, 53 900, 26 016, 27 884, 747
170,06,4,34,0001,001,"Bad Homburg v. d. Höhe, Stadt",61348,  51.14, 53 884, 25 581, 28 303,1 054
171,05,7,66,0008,008,"Bad Salzuflen, Stadt",32105,  100.05, 53 856, 25 924, 27 932, 538
172,03,2,41,0010,010,"Langenhagen, Stadt",30853,  71.97, 53 790, 26 363, 27 427, 747
173,09,6,62,0000,000,Schweinfurt,97420,  35.70, 53 437, 26 150, 27 287,1 497
174,07,3,16,0000,000,"Neustadt an der Weinstraße, Stadt",67433,  117.09, 53 353, 25 997, 27 356, 456
175,03,4,56,0015,015,"Nordhorn, Stadt",48529,  149.87, 53 278, 26 281, 26 997, 355
176,05,9,62,0040,040,"Menden (Sauerland), Stadt",58706,  86.10, 53 046, 25 979, 27 067, 616
177,06,5,32,0023,023,"Wetzlar, Stadt",35578,  75.65, 52 828, 25 485, 27 343, 698
178,05,5,70,0004,004,"Ahlen, Stadt",59227,  123.13, 52 530, 25 686, 26 844, 427
179,03,1,58,0037,037,"Wolfenbüttel, Stadt",38300,  78.74, 52 357, 25 748, 26 609, 665
180,05,3,62,0024,024,"Frechen, Stadt",50226,  45.06, 52 212, 25 455, 26 757,1 159
181,05,5,66,0028,028,"Ibbenbüren, Stadt",49477,  108.87, 52 037, 25 715, 26 322, 478
182,09,2,62,0000,000,Passau,94030,  69.56, 51 781, 24 864, 26 917, 744
183,05,1,54,0036,036,"Kleve, Stadt",47533,  97.76, 51 320, 25 372, 25 948, 525
184,05,1,66,0036,036,"Willich, Stadt",47877,  67.80, 51 179, 25 062, 26 117, 755
185,03,1,53,0017,017,"Goslar, Stadt",38640,  163.88, 51 128, 24 925, 26 203, 312
186,07,3,18,0000,000,"Speyer, Stadt",67346,  42.71, 50 931, 24 759, 26 172,1 192
187,03,4,02,0000,000,"Emden, Stadt",26721,  112.34, 50 607, 25 339, 25 268, 450
188,05,3,74,0012,012,"Gummersbach, Stadt",51643,  95.42, 50 497, 24 975, 25 522, 529
189,07,1,33,0006,006,"Bad Kreuznach, Stadt",55545,  55.56, 50 484, 23 976, 26 508, 909
190,08,4,36,5005,064,"Ravensburg, Stadt",88212,  92.05, 50 393, 24 908, 25 485, 547
191,08,1,15,0003,003,"Böblingen, Stadt",71032,  39.04, 50 035, 24 674, 25 361,1 282
192,03,1,57,0006,006,"Peine, Stadt",31224,  119.84, 49 901, 24 619, 25 282, 416
193,05,3,62,0020,020,"Erftstadt, Stadt",50374,  119.89, 49 647, 24 150, 25 497, 414
194,01,0,56,0015,015,"Elmshorn, Stadt",25335,  21.36, 49 618, 24 351, 25 267,2 323
195,08,1,35,5002,019,"Heidenheim an der Brenz, Stadt",89522,  107.09, 49 297, 24 564, 24 733, 460
196,08,3,36,5003,050,"Lörrach, Stadt",79539,  39.37, 49 213, 23 711, 25 502,1 250
197,08,2,16,5005,043,"Rastatt, Stadt",76437,  58.98, 49 100, 24 319, 24 781, 832
198,05,9,78,0004,004,"Bergkamen, Stadt",59192,  44.90, 48 829, 24 175, 24 654,1 088
199,05,7,70,0004,004,"Bad Oeynhausen, Stadt",32545,  64.83, 48 747, 23 807, 24 940, 752
200,05,7,54,0028,028,"Rheda-Wiedenbrück, Stadt",33378,  86.72, 48 685, 24 481, 24 204, 561
201,03,3,52,0011,011,"Cuxhaven, Stadt",27472,  161.92, 48 470, 23 044, 25 426, 299
202,07,3,11,0000,000,"Frankenthal (Pfalz), Stadt",67227,  43.88, 48 417, 23 382, 25 035,1 103
203,09,1,78,0124,124,"Freising, GKSt",85350,  88.59, 48 318, 24 318, 24 000, 545
204,08,1,15,0028,028,"Leonberg, Stadt",71229,  48.73, 48 222, 24 025, 24 197, 990
205,05,3,82,0012,012,"Bornheim, Stadt",53332,  82.69, 48 173, 23 453, 24 720, 583
206,08,3,35,5005,075,"Singen (Hohentwiel), Stadt",78224,  61.77, 47 716, 23 165, 24 551, 772
207,05,5,54,0020,020,"Gronau (Westf.), Stadt",48599,  78.82, 47 671, 23 754, 23 917, 605
208,09,2,63,0000,000,Straubing,94303,  67.59, 47 586, 23 956, 23 630, 704
209,05,9,74,0040,040,"Soest, Stadt",59494,  85.81, 47 376, 22 798, 24 578, 552
210,03,3,59,0038,038,"Stade, Hansestadt",21682,  110.07, 47 330, 23 170, 24 160, 430
211,05,3,82,0020,020,"Hennef (Sieg), Stadt",53773,  105.89, 47 293, 23 095, 24 198, 447
212,09,1,74,0115,115,"Dachau, GKSt",85208,  34.96, 47 255, 23 226, 24 029,1 352
213,05,3,34,0004,004,"Alsdorf, Stadt",52477,  31.68, 46 891, 23 243, 23 648,1 480
214,10,0,43,0114,114,"Neunkirchen, Kreisstadt",66538,  75.26, 46 767, 23 016, 23 751, 621
215,05,9,78,0028,028,"Schwerte, Hansestadt an der Ruhr",58239,  56.23, 46 641, 22 773, 23 868, 829
216,05,5,58,0016,016,"Dülmen, Stadt",48249,  184.83, 46 507, 22 624, 23 883, 252
217,05,3,34,0016,016,"Herzogenrath, Stadt",52134,  33.38, 46 462, 22 515, 23 947,1 392
218,03,4,59,0024,024,"Melle, Stadt",49324,  253.95, 46 451, 23 051, 23 400, 183
219,07,3,13,0000,000,"Landau in der Pfalz, Stadt",76829,  82.94, 46 292, 21 878, 24 414, 558
220,15,0,91,0375,375,"Wittenberg, Lutherstadt",06886,  240.41, 46 272, 22 323, 23 949, 192
221,08,3,17,5007,065,"Lahr/Schwarzwald, Stadt",77933,  69.84, 46 156, 23 049, 23 107, 661
222,06,4,34,0008,008,"Oberursel (Taunus), Stadt",61440,  45.34, 46 069, 22 339, 23 730,1 016
223,09,4,64,0000,000,Hof,95015,  58.02, 45 950, 22 055, 23 895, 792
224,08,1,16,0077,077,"Filderstadt, Stadt",70794,  38.55, 45 807, 22 837, 22 970,1 188
225,08,1,19,0020,020,"Fellbach, Stadt",70734,  27.71, 45 783, 22 262, 23 521,1 652
226,05,7,58,0004,004,"Bünde, Stadt",32257,  59.30, 45 712, 22 293, 23 419, 771
227,16,0,67,0029,029,"Gotha, Stadt",99867,  69.58, 45 589, 22 528, 23 061, 655
228,08,2,26,0096,096,"Weinheim, Stadt",69469,  58.11, 45 114, 22 060, 23 054, 776
229,08,4,17,5001,079,"Albstadt, Stadt",72458,  134.40, 45 023, 22 260, 22 763, 335
230,06,4,38,0011,011,"Rodgau, Stadt",63110,  65.04, 44 725, 22 275, 22 450, 688
231,08,2,15,5003,009,"Bruchsal, Stadt",76646,  93.19, 44 532, 22 383, 22 149, 478
232,05,1,58,0004,004,"Erkrath, Fundort des Neanderthalers, Stadt",40699,  26.88, 44 409, 21 395, 23 014,1 652
233,05,3,62,0012,012,"Brühl, Stadt",50321,  36.12, 44 144, 21 066, 23 078,1 222
234,12,0,65,0256,256,"Oranienburg, Stadt",16515,  163.66, 43 982, 21 460, 22 522, 269
235,03,2,41,0012,012,"Neustadt am Rübenberge, Stadt",31535,  358.96, 43 964, 21 764, 22 200, 122
236,03,2,41,0011,011,"Lehrte, Stadt",31275,  127.67, 43 932, 21 796, 22 136, 344
237,08,4,16,5003,036,"Rottenburg am Neckar, Stadt",72108,  142.26, 43 615, 21 668, 21 947, 307
238,12,0,63,0080,080,"Falkensee, Stadt",14612,  43.26, 43 552, 21 394, 22 158,1 007
239,09,7,62,0000,000,Kaufbeuren,87577,  40.02, 43 478, 21 384, 22 094,1 086
240,09,7,64,0000,000,Memmingen,87688,  70.11, 43 470, 21 478, 21 992, 620
241,05,3,70,0004,004,"Erkelenz, Stadt",41812,  117.34, 43 392, 21 195, 22 197, 370
242,05,9,78,0020,020,"Kamen, Stadt",59174,  40.95, 43 275, 21 185, 22 090,1 057
243,08,1,18,5002,079,"Bietigheim-Bissingen, Stadt",74321,  31.29, 43 266, 21 342, 21 924,1 383
244,05,1,62,0016,016,"Kaarst, Stadt",41564,  37.39, 43 216, 20 750, 22 466,1 156
245,01,0,56,0039,039,"Pinneberg, Stadt",25421,  21.54, 43 155, 21 045, 22 110,2 003
246,13,0,74,0087,087,"Wismar, Hansestadt",23952,  41.72, 42 906, 20 972, 21 934,1 028
247,16,0,56,0000,000,"Eisenach, Stadt",99817,  104.17, 42 710, 21 060, 21 650, 410
248,09,3,63,0000,000,Weiden i.d.OPf.,92637,  70.57, 42 543, 20 506, 22 037, 603
249,05,5,54,0012,012,"Borken, Stadt",46325,  152.97, 42 509, 20 887, 21 622, 278
250,05,1,66,0016,016,"Nettetal, Stadt",41334,  83.87, 42 265, 20 869, 21 396, 504
251,09,3,61,0000,000,Amberg,92211,  50.13, 42 248, 20 809, 21 439, 843
252,03,1,51,0009,009,"Gifhorn, Stadt",38518,  105.39, 42 239, 20 889, 21 350, 401
253,16,0,62,0041,041,"Nordhausen, Stadt",99734,  105.61, 42 014, 20 596, 21 418, 398
254,10,0,45,0114,114,"Homburg, Kreisstadt",66424,  82.61, 41 934, 20 513, 21 421, 508
255,03,4,52,0001,001,"Aurich, Stadt",26603,  197.29, 41 854, 20 672, 21 182, 212
256,05,3,70,0016,016,"Heinsberg, Stadt",52525,  92.21, 41 673, 20 555, 21 118, 452
257,09,5,61,0000,000,Ansbach,91511,  99.91, 41 652, 19 930, 21 722, 417
258,06,4,38,0002,002,"Dreieich, Stadt",63303,  53.27, 41 548, 20 358, 21 190, 780
259,03,2,41,0021,021,"Wunstorf, Stadt",31515,  125.74, 41 532, 20 252, 21 280, 330
260,14,5,22,0180,180,"Freiberg, Stadt, Universitätsstadt",09599,  48.32, 41 496, 20 911, 20 585, 859
261,03,2,41,0009,009,"Laatzen, Stadt",30880,  34.16, 41 449, 20 015, 21 434,1 213
262,05,3,82,0060,060,"Siegburg, Stadt",53721,  23.66, 41 326, 20 286, 21 040,1 747
263,09,4,63,0000,000,Coburg,96419,  48.29, 41 236, 20 065, 21 171, 854
264,05,3,82,0024,024,"Königswinter, Stadt",53639,  76.17, 41 050, 20 005, 21 045, 539
